response_code,response_size,error_message_present,data_exposure_detected,auth_state,attack_type,severity_label
500,1103,1,0,2,Path Traversal,High
200,65,0,1,1,Information Disclosure,Low
403,720,1,0,2,XSS,High
500,889,1,0,2,XSS,High
401,1038,1,0,2,Path Traversal,High
200,301,0,1,1,Information Disclosure,Low
429,300,0,0,1,BOLA,Medium
500,1666,1,1,3,Broken Authentication,Critical
200,592,0,1,1,Information Disclosure,Medium
500,1014,1,0,2,BOLA,High
401,315,0,0,1,XSS,Medium
200,784,0,0,1,SQL Injection,Low
403,1323,0,1,1,SQL Injection,Medium
403,1816,1,1,3,Broken Authentication,Critical
429,360,1,0,1,Security Misconfiguration,Medium
200,352,0,0,1,Broken Authentication,Medium
200,747,0,0,1,SQL Injection,Low
403,3508,1,1,1,Excessive Data Exposure,Medium
500,3637,1,1,2,Excessive Data Exposure,High
200,154,0,0,1,Rate Limit Abuse,Low
404,273,0,0,1,Broken Authentication,Low
200,368,1,0,2,BOLA,Medium
500,2502,1,1,2,SQL Injection,Critical
403,1363,1,0,2,Security Misconfiguration,High
200,140,0,0,1,Rate Limit Abuse,Low
401,998,1,0,3,Broken Authentication,High
429,606,1,0,2,XSS,High
500,2722,1,0,3,Security Misconfiguration,Critical
200,634,1,0,1,Security Misconfiguration,Medium
500,1028,1,0,2,XSS,Critical
500,364,1,0,2,Rate Limit Abuse,High
404,86,0,0,1,XSS,Low
429,1073,1,0,2,BOLA,High
401,3687,1,1,2,Excessive Data Exposure,High
403,1284,1,1,3,Broken Authentication,Critical
200,1305,0,0,1,Excessive Data Exposure,Low
500,3236,1,0,3,Security Misconfiguration,Critical
503,2016,0,0,3,Security Misconfiguration,Critical
401,1433,1,0,3,BOLA,High
200,350,1,0,1,Rate Limit Abuse,Medium
403,2679,0,1,1,Excessive Data Exposure,Medium
500,1893,0,1,3,SQL Injection,High
200,569,0,0,1,Broken Authentication,Medium
403,383,1,0,1,Security Misconfiguration,Medium
500,2820,1,1,3,Path Traversal,Critical
429,854,1,0,2,XSS,High
